Id,SubjectKey,FactName,Domain,ValueKey,RawValue,NormalizedValue,SourceFamily,TableName,SourcePath,RowKey,LineNumber,ByteOffset,FieldName,Confidence,Notes
claim:2,Ability:4,Description,AbilityDescription,,,,client_strings,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,line=5;EntryId=4,5,0,value,localized_string,abilitydesc.txt
claim:1,Ability:4,Name,AbilityName,,,,client_strings,abilitynames.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitynames.txt,line=5;EntryId=4,5,0,value,localized_string,abilitynames.txt
